iter	Passed	Remaining
0	1	163
1	3	153
2	4	138
3	5	129
4	6	129
5	8	132
6	9	127
7	10	126
8	12	127
9	14	129
10	16	131
11	17	131
12	20	134
13	21	133
14	24	136
15	26	138
16	28	136
17	29	135
18	31	133
19	33	132
20	35	132
21	37	132
22	39	131
23	40	129
24	42	127
25	44	126
26	45	123
27	47	122
28	49	121
29	51	120
30	53	119
31	55	117
32	57	115
33	58	114
34	60	112
35	62	111
36	64	109
37	66	108
38	67	106
39	69	104
40	71	102
41	72	99
42	74	98
43	75	96
44	77	95
45	80	94
46	82	93
47	84	91
48	86	89
49	88	88
50	90	86
51	92	84
52	94	83
53	96	81
54	97	80
55	99	78
56	101	76
57	103	74
58	105	73
59	107	71
60	110	70
61	111	68
62	113	66
63	114	64
64	115	62
65	116	60
66	118	58
67	119	56
68	120	54
69	122	52
70	123	50
71	125	48
72	127	47
73	129	45
74	131	43
75	133	42
76	135	40
77	137	38
78	139	37
79	140	35
80	142	33
81	143	31
82	145	29
83	147	28
84	149	26
85	151	24
86	154	23
87	157	21
88	159	19
89	162	18
90	164	16
91	166	14
92	169	12
93	171	10
94	174	9
95	176	7
96	179	5
97	181	3
98	184	1
99	187	0
